employee_id,exit_date,employee_name,hire_date,gender,employment_type,agency_code,agency_name,job_grade_id,job_grade_name,exit_reason,source_system,tenure_months,is_voluntary,exit_year,exit_quarter,exit_month,gold_ts
A003808,5/19/2024,Marcus Rao,2/3/2022,M,P,C,Agency C,2,Lead,Health,SYSTEM A,27.51612903,0,2024,2,5,2026-03-27T07:12:20.414Z
A007923,4/11/2024,Thomas Khoo,11/23/2022,M,P,D,Agency D,1,Staff,Better Opportunity,SYSTEM A,16.61290323,1,2024,2,4,2026-03-27T07:12:20.414Z
A009710,5/20/2025,Andre Tay,10/12/2024,F,P,A,Agency A,1,Staff,Better Opportunity,SYSTEM A,7.25806452,1,2025,2,5,2026-03-27T07:12:20.414Z
A011636,12/12/2025,Steven Tan,7/24/2025,M,C,A,Agency A,4,Deputy Director,Better Opportunity,SYSTEM A,4.61290323,1,2025,4,12,2026-03-27T07:12:20.414Z
A011679,1/18/2024,Rizal Cheong,11/10/2023,F,P,B,Agency B,1,Staff,Better Opportunity,SYSTEM A,2.25806452,1,2024,1,1,2026-03-27T07:12:20.414Z
A011739,6/19/2024,Jing Lau,11/7/2023,M,P,D,Agency D,2,Lead,Better Opportunity,SYSTEM A,7.38709677,1,2024,2,6,2026-03-27T07:12:20.414Z
A013427,8/24/2025,Wayne Hassan,7/24/2023,F,P,D,Agency D,1,Staff,Better Opportunity,SYSTEM A,25,1,2025,3,8,2026-03-27T07:12:20.414Z
A014276,8/2/2025,Quentin Patel,4/23/2023,F,C,A,Agency A,1,Staff,Better Opportunity,SYSTEM A,27.32258065,1,2025,3,8,2026-03-27T07:12:20.414Z
A014920,6/1/2026,Samuel Malik,1/8/2026,M,P,F,Agency F,2,Lead,Better Opportunity,SYSTEM A,4.77419355,1,2026,2,6,2026-03-27T07:12:20.414Z
A014963,5/25/2025,Oscar Nair,2/7/2024,F,P,A,Agency A,2,Lead,Better Opportunity,SYSTEM A,15.58064516,1,2025,2,5,2026-03-27T07:12:20.414Z
