employee_id,transfer_date,from_agency_code,from_agency_name,to_agency_code,to_agency_name,job_grade_id,job_grade_name,employee_name,source_system,is_cross_agency,transfer_year,transfer_quarter,gold_ts
A000216,9/1/2024,B,Agency B,A,Agency A,1,Staff,Hui Ibrahim,SYSTEM A,1,2024,3,2026-03-27T07:12:24.498Z
A000419,10/26/2025,B,Agency B,F,Agency F,2,Lead,Victor Martinez,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A000715,3/3/2025,F,Agency F,B,Agency B,3,Assistant Director,Zachary Pillai,SYSTEM A,1,2025,1,2026-03-27T07:12:24.498Z
A000955,5/25/2025,D,Agency D,B,Agency B,4,Deputy Director,Gerald Kaur,SYSTEM A,1,2025,2,2026-03-27T07:12:24.498Z
A001473,12/28/2025,D,Agency D,F,Agency F,1,Staff,Grace Loh,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A002138,12/27/2023,F,Agency F,C,Agency C,2,Lead,Edward Williams,SYSTEM A,1,2023,4,2026-03-27T07:12:24.498Z
A003645,9/29/2022,H,Agency H,A,Agency A,1,Staff,Victor Wee,SYSTEM A,1,2022,3,2026-03-27T07:12:24.498Z
A005019,12/31/2025,A,Agency A,C,Agency C,1,Staff,Linda Malik,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A006826,10/14/2025,D,Agency D,F,Agency F,1,Staff,Clara Wong,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A006910,7/1/2022,A,Agency A,H,Agency H,3,Assistant Director,Edward Chan,SYSTEM A,1,2022,3,2026-03-27T07:12:24.498Z
A007126,7/1/2023,D,Agency D,G,Agency G,2,Lead,Xerxes Martinez,SYSTEM A,1,2023,3,2026-03-27T07:12:24.498Z
A008783,10/6/2022,B,Agency B,C,Agency C,3,Assistant Director,Ramesh Rahman,SYSTEM A,1,2022,4,2026-03-27T07:12:24.498Z
A009350,7/19/2025,A,Agency A,G,Agency G,1,Staff,Wayne Lee,SYSTEM A,1,2025,3,2026-03-27T07:12:24.498Z
A010388,11/26/2025,B,Agency B,A,Agency A,1,Staff,Deborah Yeo,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A010725,7/16/2025,A,Agency A,F,Agency F,1,Staff,Ying Rahman,SYSTEM A,1,2025,3,2026-03-27T07:12:24.498Z
A014678,6/20/2024,C,Agency C,F,Agency F,2,Lead,Meena Chee,SYSTEM A,1,2024,2,2026-03-27T07:12:24.498Z
A016774,11/18/2022,A,Agency A,B,Agency B,3,Assistant Director,Aaron Rahman,SYSTEM A,1,2022,4,2026-03-27T07:12:24.498Z
A017327,10/13/2022,B,Agency B,D,Agency D,2,Lead,Winifred Heng,SYSTEM A,1,2022,4,2026-03-27T07:12:24.498Z
A017725,3/15/2025,F,Agency F,B,Agency B,1,Staff,Hafiz Patel,SYSTEM A,1,2025,1,2026-03-27T07:12:24.498Z
A018136,6/27/2025,B,Agency B,D,Agency D,1,Staff,Teresa Malik,SYSTEM A,1,2025,2,2026-03-27T07:12:24.498Z
A021483,11/14/2025,D,Agency D,A,Agency A,1,Staff,Benjamin Sim,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A021829,2/12/2025,B,Agency B,C,Agency C,3,Assistant Director,Olivia Ooi,SYSTEM A,1,2025,1,2026-03-27T07:12:24.498Z
A025327,6/2/2024,B,Agency B,D,Agency D,1,Staff,Jasmine Lin,SYSTEM A,1,2024,2,2026-03-27T07:12:24.498Z
A026624,10/26/2022,A,Agency A,H,Agency H,2,Lead,Arjun Nair,SYSTEM A,1,2022,4,2026-03-27T07:12:24.498Z
A027062,10/15/2023,B,Agency B,C,Agency C,1,Staff,Kavitha Poh,SYSTEM A,1,2023,4,2026-03-27T07:12:24.498Z
A028278,7/2/2025,F,Agency F,H,Agency H,1,Staff,Rohit Lin,SYSTEM A,1,2025,3,2026-03-27T07:12:24.498Z
A028286,12/25/2023,F,Agency F,H,Agency H,1,Staff,Rizal Yang,SYSTEM A,1,2023,4,2026-03-27T07:12:24.498Z
A029229,5/22/2022,A,Agency A,B,Agency B,1,Staff,Rachel Lau,SYSTEM A,1,2022,2,2026-03-27T07:12:24.498Z
A033055,7/12/2023,F,Agency F,H,Agency H,3,Assistant Director,Betty Mohamed,SYSTEM A,1,2023,3,2026-03-27T07:12:24.498Z
A033376,4/11/2023,C,Agency C,B,Agency B,2,Lead,Henry Chia,SYSTEM A,1,2023,2,2026-03-27T07:12:24.498Z
A033548,12/18/2025,F,Agency F,H,Agency H,1,Staff,Suresh Chua,SYSTEM A,1,2025,4,2026-03-27T07:12:24.498Z
A036061,1/20/2022,A,Agency A,H,Agency H,1,Staff,Henry Yap,SYSTEM A,1,2022,1,2026-03-27T07:12:24.498Z
A037198,9/1/2021,B,Agency B,D,Agency D,2,Lead,Zachary Jones,SYSTEM A,1,2021,3,2026-03-27T07:12:24.498Z
A037652,9/15/2025,A,Agency A,F,Agency F,2,Lead,Marcus Chew,SYSTEM A,1,2025,3,2026-03-27T07:12:24.498Z
